1642581000000,41252.91000000,41288.80000000,41160.29000000,41191.01000000,270.39145000,1642581299999,11146692.07972510,6143,174.84120000,7209218.39788200,0
1642581300000,41191.01000000,41267.42000000,41138.56000000,41264.51000000,221.02571000,1642581599999,9106354.52094910,5762,129.61185000,5339530.95464380,0
1642581600000,41264.51000000,41322.75000000,41223.62000000,41304.79000000,86.13038000,1642581899999,3555039.82767790,3223,54.35718000,2243502.20892100,0
1642581900000,41304.79000000,41340.00000000,41280.06000000,41302.69000000,66.55256000,1642582199999,2749470.57160850,2994,32.48712000,1342251.52424650,0
1642582200000,41302.70000000,41400.00000000,41247.84000000,41399.63000000,103.09723000,1642582499999,4259995.21128210,2954,44.03725000,1820191.63463890,0
1642582500000,41399.63000000,41400.00000000,41339.66000000,41368.68000000,110.00289000,1642582799999,4551540.64938900,2784,42.99034000,1778781.70057020,0
1642582800000,41368.68000000,41426.42000000,41324.67000000,41401.66000000,72.57525000,1642583099999,3002331.56850660,2790,38.27788000,1583665.65376630,0
1642583100000,41401.66000000,41541.02000000,41373.53000000,41515.70000000,225.30402000,1642583399999,9345023.02771760,5305,128.91601000,5346802.84030100,0
1642583400000,41515.71000000,41542.01000000,41474.01000000,41485.54000000,80.66009000,1642583699999,3347894.10537400,2585,40.18692000,1667945.24943490,0
1642583700000,41485.54000000,41543.48000000,41458.66000000,41541.52000000,69.97815000,1642583999999,2903386.61611150,2334,43.35893000,1798952.28155100,0
1642584000000,41541.53000000,41579.37000000,41515.66000000,41565.36000000,134.45113000,1642584299999,5586978.15966280,2977,48.63729000,2020809.27152720,0
1642584300000,41565.36000000,41579.61000000,41467.36000000,41471.54000000,117.89243000,1642584599999,4897867.44564380,2641,52.64690000,2187527.10985360,0
1642584600000,41471.55000000,41510.37000000,41430.46000000,41479.44000000,67.29701000,1642584899999,2790594.05635880,2418,37.82264000,1568308.05779480,0
1642584900000,41479.45000000,41496.45000000,41432.80000000,41471.99000000,80.51223000,1642585199999,3338096.43377440,2405,42.47798000,1761235.76609030,0
